,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
0,"Specialist, Analytics & Data Science",Data Analyst,Athena,Remote in Remote,"We are in need of an Analytics & Data Science Specialist who will be responsible for providing business-critical insights and data, performing data analysis…",EmployerActive 2 days ago,?,2023-08-30,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ci2m3NHTCLPLjCafZ29-GlYSVkV9guijR6sPMMcpnip1x9gIab11viNxWecQBuR5jbsuV7LDNnvaP7qmvfmwUPyQmbj9K72SbVRjDT8rbUfiV1kOuPOk97TFcPD_0lKJzY-JDJ3SlLxlf3k52nK-ndRR1KtFnXFWmQaHEZOcV8caCViL1kWCr_JN3MoIZU8yIfR0vieBlcQBEBRATZ7rTguLzCqMGZ8ABVGjtAqLQYREGRWRIzAuo233KABbStBgja78hFvtSnKzlpQThsFDkT8vI5Wdx4Q3alItJEFjhd-1gVEgjJBMdfaEaLBu93Pgfe956iAiUDZNBuubE3LPS8hGhTnPYD-NLxvDwSdjfVLm1xlZsU2LSZpLze20itaViIYbXfbibi80ZZOiRhICaVUQtP5ucYqq_AJ4OxVYBNgWI5NeBVFeDPtpuQ-fmyBsKO29M6WOJftmagUjThXb7pw6onJVgEaPeFr06uDItonl0qEVl7Lg0iLU9NcvlB9hyZ4gktAVqzgoOcEnh5miawQx5RSXqPIJouLKD7SrmYHTO65mqyE-l9zKs50Qcc21Nb7mKmylJAmYi_6Zuh2G5m8X_lt21mXAHZH1QbQQnOnFmJYZlPgwi2gt8B4RfeDcZ4iDlw27G7VkMvaESIqKwSIj22nFJeccPfWNfV5JleyLlia7Scr6h2pYT_VjKzybWh3UOsYqQ0ZHiF894ZTz7l55xOmcjHIpA=&xkcb=SoDT-_M3Lj7oaMgP2r0KbzkdCdPP&p=1&fvj=1&vjs=3
1,Data Analyst,Data Analyst,Digital Green,"Delhi, Delhi","3+ years of experience as a business analyst/data analyst in a business environment.
Perform data quality assurance and data cleaning (automated).",PostedPosted 12 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=48f7504b7eb9c457&fccid=5493eab299fcc038&vjs=3
2,Data Analyst,Data Analyst,ZenOnco.io,"Bengaluru, Karnataka","Using automated tools to extract data.
Removing corrupted data and fixing coding errors.
Preparing reports and performance indicators.",EmployerActive 2 days ago,"₹4,00,000 - ₹6,00,000 a year",2023-08-30,https://in.indeed.com/company/ZenOnco.io/jobs/Data-Analyst-c8b5a70f65ebd93c?fccid=669551e509f449b4&vjs=3
3,Predictive Analyst,Data Analyst,Tidal Vape Ltd,Remote in Remote,Utilize business intelligence tools and data analytics platforms effectively to streamline data analysis and reporting processes.,EmployerActive 4 days ago,"₹8,00,000 - ₹10,00,000 a year",2023-08-30,https://in.indeed.com/company/OFS-ta-Tidal-Vape/jobs/Predictive-Analyst-dfc65cd786dad01a?fccid=252a663c3d9835fd&vjs=3
4,Data Analyst,Data Analyst,8848 Digital LLP,Remote in Remote,"Use tools like Excel, SQL, or data modeling software to create logical and physical data models that support data analysis and reporting requirements.",PostedPosted 30+ days ago,"₹7,00,000 - ₹9,00,000 a year",2023-08-30,https://in.indeed.com/company/Nexcen-Global/jobs/Data-Analyst-71e2e9164f4c7878?fccid=8998e89e6dd8d44a&vjs=3
5,Data Analytics Intern,Data Analyst,Ketto,"Mumbai, Maharashtra","We are data evangelists who truly believe in the power of data to transform businesses.
Be it business intelligence, data engineering, or machine learning, we…",PostedPosted 19 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=5fcafca2544f79a8&fccid=0ca5fb09be5db2e4&vjs=3
6,Data Analytics & Strategy,Data Analyst,JPMorgan Chase & Co,"Bengaluru, Karnataka","Experience working on Digital behavioral data tools (E.g.: Adobe Analytics).
Apply strategic, analytical and data science skills to broad range of challenges…",PostedPosted 11 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=bf65fe5a8bf0b3cc&fccid=c46d0116f6e69eae&vjs=3
7,Data Analytics - Contractors,Data Analyst,EY,"Kochi, Kerala+3 locations","Support extraction of data from multiple sources by understanding data structure requirement.
Correlate raw data to audit-related analytics.",PostedPosted 13 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=6252c92523b6d04a&fccid=1544766d4c2915b0&vjs=3
8,Data Analyst,Data Analyst,Virtusa,"Hybrid remote in Chennai, Tamil Nadu+1 location","Confirmed experience of operating with complex integrated systems, using creative and critical thinking to deliver outstanding results.",PostedPosted 9 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=d8f05da375b59729&fccid=146443e77d8c0778&vjs=3
9,Data Analytics (SQL and Alteryx) - Analyst,Data Analyst,JPMorgan Chase & Co,"Bengaluru, Karnataka","You will learn core business processes, build new data mart capabilities, develop metrics/management reporting and provide decision support via adhoc reporting…",PostedPosted 17 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=7fec5f74c7403e65&fccid=c46d0116f6e69eae&vjs=3
10,Data Analyst,Data Analyst,Moneyview,"Bengaluru, Karnataka","Gather required financial data to prepare and reconcile the reports in a timely manner.
Regular communication with lending partners to keep the data up to date.",EmployerActive 9 days ago,"₹4,00,000 - ₹6,00,000 a year",2023-08-30,https://in.indeed.com/company/MoneyView/jobs/Data-Analyst-6a197c2cc84a1410?fccid=701c194e61abfbec&vjs=3
11,Data analysis,Data Analyst,PRESTO Solutions,"Mumbai, Maharashtra","Good communication skills and understanding of data and insights.
Creating reports and ETL processes along with understanding the flow of data.",EmployerActive 2 days ago,"₹4,00,000 - ₹6,00,000 a year",2023-08-30,https://in.indeed.com/company/PRESTO-Solutions/jobs/Data-Analysis-128a18e7ed3ff8aa?fccid=2b4d87a2ebb8d025&vjs=3
