title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
Data Engineer (India),Data Engineer,Athena,Remote in Remote,Model front- & back-end data sources to draw a comprehensive picture of data flow throughout the organization and enable powerful data analysis.,EmployerActive 2 days ago,?,2023-08-30,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ci2m3NHTCLPLjCafZ29-GlYSVkV9guijR6sPMMcpnip1x9gIab11viNxWecQBuR5h8mBLesuztJHV3A-uNL0eIgSXSeuY8lJgG-3a7ovwIZGqnjq6kM5-PG6pHN0jf0kl5FRuv_GeXfUiqRrwQRB_YmlPexVwy9I0-rcOwgCw5fxd67J6jf9ByTEnrWr1S6mLk8-NgEZglH8KpX9imzE9Dnj4qH_AaNObEAdt8IXeJABz57tLPD7gzYq1nujcX7SZdoQXs0FT0tWcQssNnN7DtzWyQyZq4B8eXIOuCgUPSW7Oz6it-RlG7AjDoqXJi7WRkOScnzEhsCuq2sPsn_D9ttPNW3u1rZJYnEECiW-sjU8iKFNlVJZkgTyYrvl0L0KUHHih1ZoTf8EKyhQESHdsTQJwLFj-bakyawkgKF2UPjnxBjPWz--hc8rqHSHjtAhHz0Gt9F3R7Zq_3pJzo4iQmUJlCwlrZcGUJ0jX1_4rbqb79cArB_6NRIXI6MS0RmYDpjruyrJF-pxnDLFOwMZT_73Xe7YMTiBtvjicSpZPflkjW1K0bb0MxrUoowVLXQJiEgHhq1RdSefSwVqFqLXyNqhy0a0dEY9L1cQz1W6rPuyWkDJPfwtxpbTv1VKyG6dnxCVjx1W_aO1vhSqFwHdJesM3Yeg2xm7HeXePRGH_29Q==&xkcb=SoBh-_M3Lj65eDRGkJ0LbzkdCdPP&p=0&fvj=1&vjs=3
Data Engineer,Data Engineer,Aventure Corporate Solution,Remote in Remote,"Troubleshoot and resolve data-related issues, providing timely and effective resolutions to minimize disruptions to data pipelines and analytics processes.",EmployerActive 27 days ago,"₹10,00,000 - ₹35,00,000 a year",2023-08-30,https://in.indeed.com/company/Aventure-Corporate-Solution/jobs/Data-Engineer-fcae73c97add54de?fccid=395f017ab28a5267&vjs=3
Data Engineer,Data Engineer,Uvation,"Remote in Delhi, Delhi","Data Architecture: Design, create, and maintain robust and scalable data infrastructure, including data pipelines and data warehouses.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=a2a8ecd3bd9ed8aa&fccid=ade7c615896d91f4&vjs=3
Data Engineer,Data Engineer,Datacurate Technologies,"Remote in Thane District, Maharashtra","Design, develop & support data management / Analytics programs.
Strong coding skills and fundamentals in data structures, database technology & SQL.",EmployerActive 1 day ago,"₹6,00,000 - ₹12,00,000 a year",2023-08-30,https://in.indeed.com/company/Datacurate-Technologies/jobs/Data-Engineer-a04ed9891d252f14?fccid=dd09fe5e26dfb476&vjs=3
ETL/Data Engineer,Data Engineer,UST,"Bengaluru, Karnataka","Experience using data loader tools.
Good understanding of Database architectures and data models.
Good understanding of Database architectures and data models.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=1cd414fc281b624a&fccid=810178099fb1fcbc&vjs=3
Data Engineer,Data Engineer,Coinfluence,"Remote in Pune, Maharashtra","Experience with implementing data collection strategies, data modelling, and data storage implementing ETL / ELT solutions.
Azure, or Google Cloud Platform.",Hiring ongoing,"Up to ₹13,00,000 a year",2023-08-30,https://in.indeed.com/company/Coinfluence/jobs/Data-Engineer-73d97d4c82132fc9?fccid=3658618975d064e3&vjs=3
Netwitness-User Interface Senior Engineer,Data Engineer,RSA,"Bengaluru, Karnataka","Translates data into usable design solutions and leverages results to spark focused design efforts.
Performs a variety of data analysis techniques to surface…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdeCH3wzlYpD364Be5JbcCJKJ8S-TlvC_iwEgvLx09tToZUFABJK1kWK7izg9M0254h-_qK_34saPI-ydNrJgrML9N5qhArpduhlaDZsLKxQFErgULM6iHlTGOrAKtKVLslKoPToEUZKgDTp5MXc4oaspjaIjzCCOltvwmdsQmRaJZ2kHPWeQ8O0354IL492KDA1uHxK2xfOCO6dzUSF-wnL3uUkxVBWMRvvQSxtNKJiVp_INmrxbYOCqXL6cPieNHs4PTRurhcnHWDVJ7qrJKMENb_o7sWrgwh66NOteOe2L0uTjAFAxLMv60sceNAgEMzkFWSC2cYRDEgFLu5NeawdeRES3qPkYAHCEQlF2NO8WlRYCmk5-2mXl0i_7rV0sNFIB3CLUiuC4NCk8Q1aXO3kZpT4_u_C6M_CnkMKd_Ch_Ey3-NVrilzRKKzgTIJEBDiyTtou2auSfNX9UC_f6jRDvT5b0sKLVUcQOP36XxYpy9UW-p4i9jqGCk1ZBvDQ2dYUmIrapivvNFaFZSVajeGSxyfjfgfBxXxFKGDgJvAhulQ9BrkrmmnNQtQg63lR_XH253uHiwe0hC6cvA2qC5n28VIeJ6qgDcPi1lZtta6gCE3prtTXzGuNtUUQvlBJzwvZM8N4h_rocr-dV9xpBkI72UJgaC-3oqJc2Hu0IfjBCTd-eUHc5RUmPViGy1rXwSfIiX80zumwE8mRDEl8EJxjnNym0ohsu3xif0CmVgHeWns6gfFEudFKruaG3hKPRRuo0SnVHazzlyMTaAdGwwGWArOM539kfgLlvJTbFY_aHPfhD8ZUv8XI-xjt-6Z4tZOzIZ9zRYeOl0p8wne_lw5s5PVNNq5lLmA8daaf5brOEjqvuQbMQDllFrxcuFBtbsiOBU9qJl9T2QHeFveCxWTPRft0LWAPOFuZ3EC-xAAFW4oWW-QEfUTNA5-f26jgxIZ_UcnEkbV4-pR6f3mFSH8iJBL6cBpLZw7ZffeJHht4xb1IaTrBMs7HVGIWpbSjDj42QMhTz8PTZeQPt_0ScxJsHKD7cMFw8juBC8ydwIb2dkt0eRdryue4T12H_YBaCkjLwW5Drzf09FYBW41A6zypXuX7Wu2KBChhW0IM-rNJx0V387Dy7hW13locO8Bcv1KHO8UEEFrcCR4X-98AtNP7bdhZKJWsaKUOUG-_1VXQqZMScNZI5V&xkcb=SoA8-_M3Lj65eDRGkJ0FbzkdCdPP&p=14&fvj=0&vjs=3
Data Engineer,Data Engineer,Kaseya,"Bengaluru, Karnataka","Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Experience with data warehousing, data modeling and building ETL…",PostedPosted 24 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=97724dc51a9c18b8&fccid=2510fa45f44975fc&vjs=3
BI Data Engineer,Data Engineer,"Stefanini, Inc","Gurgaon, Haryana","Excellent knowledge of data warehousing and analysis concepts, data normalization, dimensional modelling, and associated practices.
Python experience is a must.",PostedPosted 11 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=1f8a746b4a94a3cd&fccid=7e646b8cb4a11b13&vjs=3
"Senior Engineer, Data Analytics",Data Engineer,Nagarro,Remote,"Company Description We're Nagarro. We are a digital product engineering company that is scaling in a big way! We build products, services, and experiences…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=19bb28ed4eddfc08&fccid=be57e01618911e92&vjs=3
