,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
0,AI/ML Engineer,Data Scientist,KREEDA LABS,Remote in Remote,"Visual AI and Motion Detection, Computer Vision, Tensor flow, Keras and other skills sets of an AI/ML Engineer.
AI/ML: 1 year (Preferred).",EmployerActive 2 days ago,"From ₹1,00,000 a month",2023-08-30,https://in.indeed.com/company/GARUDAIRE-PRIVATE-LIMITED/jobs/Engineer-ad9e236ae6fb7df2?fccid=a1f9c2a9f955373d&vjs=3
1,"Specialist, Analytics & Data Science",Data Scientist,Athena,Remote in Remote,"We are in need of an Analytics & Data Science Specialist who will be responsible for providing business-critical insights and data, performing data analysis…",EmployerActive 2 days ago,?,2023-08-30,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ci2m3NHTCLPLjCafZ29-GlYSVkV9guijR6sPMMcpnip1x9gIab11viNxWecQBuR5jbsuV7LDNnvaP7qmvfmwUPyQmbj9K72SbVRjDT8rbUfiV1kOuPOk97TFcPD_0lKJzY-JDJ3SlLxlf3k52nK-ndRR1KtFnXFWmQaHEZOcV8caCViL1kWCr_Tzea58sUyyhmi0VAs7_TAiZ1um1KiKHa6HwfCFJdiCMkkv3f3Jm6GYZM19qwKTJQL1iB3yvsgMdPcafkL0ibgfsqik1ejjo6RXXG2zk47E6QP2mDUay5iTX1gFnW54wIFHIZcBk4PsRGuOhNFiWgD1DiNleTh6Y7BgGneDI5fipkJOt1FeYckCBbwbB-FZmq3xnJPtEToqL3nBEZrMWT-rQjeZL2R98ofZOGE9u5yeJtCFH-SJAGz5lSZxCd_GIuHja5Gx-BkbHHfhmSXDuXAnsurPgtZYJXDntKopg4C8Ju23HMDiupLTDaOnmmq_JKizcaG2K4Q1GZiMDgkjYTBeTE-xcNwXy_11qBtQB4LUGw1D1nLmtbA3k4_tljpB-6f11w5qsnOyx9QpQJD5Lf9mHbZv9QarMK6w61-JyuNgDglE-SimOq4tnfFD8hJ_Fj1IZ5QPBBDrElbL6PCvHWJKe7QlCNORcEz0BcjLSsC34XtZEJRQQ-SEBicytqz7uPV23SG_RAxEr4ZCC3BJz-dqSiH3E9KQIQqtK-vfwzIS4=&xkcb=SoCo-_M3Lj8bwpxGnR0PbzkdCdPP&p=2&fvj=1&vjs=3
2,Data Science Trainer,Data Scientist,ONLEI Technologies,Remote,We are looking to hire a Data Science Trainer .,PostedPosted 19 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=238192286f62a4f1&fccid=45464de7007331b6&vjs=3
3,Data Scientist,Data Scientist,Glowfin,"Delhi, Delhi","Interpret unorganized data in a meaningful way, Exploratory data analysis to identify trends, anomalies and insights.
Total work: 4 years (Preferred).",EmployerActive 2 days ago,"₹12,00,000 - ₹15,00,000 a year",2023-08-30,https://in.indeed.com/company/Glowfin/jobs/Data-Scientist-ed663645829cc7e8?fccid=e2c59b709fd685fc&vjs=3
4,Data Analytics Intern,Data Scientist,Ketto,"Mumbai, Maharashtra","Ability to extract meaningful insights by mining structured and unstructured data.
Advanced knowledge of SQL; familiarity with data visualization tools such as…",PostedPosted 19 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=5fcafca2544f79a8&fccid=0ca5fb09be5db2e4&vjs=3
5,Sr Data Scientist - Matching Science,Data Scientist,Indeed,Remote in Remote,"Mentor other software engineers, data scientists, and Machine Learning Engineers in the team.
Solid knowledge of data structures and algorithms.",EmployerActive 2 days ago,"₹49,60,000 - ₹74,40,000 a year",2023-08-30,https://in.indeed.com/company/Indeed/jobs/Senior-Data-Scientist-3f394558f770f877?fccid=d6ef41e202aa2c0b&vjs=3
6,Data Science,Data Scientist,Ellicium,"Pune, Maharashtra","Businesses need to make better and faster decisions by analyzing data to stay competitive and future-ready.
We enable business transformation through Big Data,…",PostedPosted 14 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=97355541c3eee158&fccid=5d91cffe85c9b371&vjs=3
7,Data Scientist,Data Scientist,4bell Technology,"Bengaluru, Karnataka","Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop).
Proven experience as a Data Scientist or Data Analyst.",EmployerActive 2 days ago,"₹20,00,000 - ₹25,00,000 a year",2023-08-30,https://in.indeed.com/company/4Bell-Technology/jobs/Data-Scientist-f79d101c13b5891e?fccid=796a5f1c8bee66df&vjs=3
8,Data Scientist,Data Scientist,Algoscale,India,"Experience with data visualization and extracting insights from them.
Extending company’s data with third party sources of information when needed.",PostedPosted 11 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=666d19867ded4a5d&fccid=1c15201d5c45a1d0&vjs=3
9,Data Analytics & Strategy,Data Scientist,JPMorgan Chase & Co,"Bengaluru, Karnataka","Apply strategic, analytical and data science skills to broad range of challenges faced by the enterprise.
Be a story teller capable of delivering practical data…",PostedPosted 11 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=bf65fe5a8bf0b3cc&fccid=c46d0116f6e69eae&vjs=3
10,Data Scientist Intern,Data Scientist,The Insights Machine,"Remote in Mumbai, Maharashtra","Responsible for researching the solutions to industry-level data science problems.
Location - Operate Remotely ( WORK FROM HOME)*.",EmployerActive 9 days ago,"₹10,000 - ₹15,000 a month",2023-08-30,https://in.indeed.com/company/The-Insights-Machine/jobs/Data-Scientist-4e74b12f713d6f43?fccid=2ffa364d40513e69&vjs=3
11,Machine Learning Engineer,Data Scientist,8848 Digital LLP,Remote in Remote,"Proven experience with data analysis, wrangling, and transformation.
Degree in Computer Science, Data Science or a related field.",PostedPosted 30+ days ago,"Up to ₹12,00,000 a year",2023-08-30,https://in.indeed.com/company/Nexcen-Global/jobs/Machine-Learning-Engineer-c405ee2e8db9c036?fccid=8998e89e6dd8d44a&vjs=3
12,Data Scientist,Data Scientist,Stemly Pte Ltd,Remote,"The ideal candidate will be a talented data scientist, adept at machine learning and/or applied statistics with strong foundations in computer science…",PostedPosted 15 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=53aee2c06387a78f&fccid=209ba9c4e9365bc4&vjs=3
13,Data Scientist,Data Scientist,Cendyn,"Gurgaon, Haryana","Minimum of 2 years hands-on experience in performing data analysis including manipulating large and diverse data, cleaning data, and estimating statistical…",PostedPosted 19 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=3202db261bbf44d6&fccid=904e9483c827415b&vjs=3
14,Data Scientist-HTHD,Data Scientist,Ford Motor Company,"Chennai, Tamil Nadu","Analyze and extract relevant information from large amounts of Ford’s historical business data, both in structured and unstructured formats from Big data…",PostedPosted 9 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=4066c11b47d27751&fccid=761c44c17d636bfe&vjs=3
15,Data Scientist,Data Scientist,Serendipity Corporate Services,"Pune, Maharashtra","Of programming methods, using a variety of data tools, building and implementing models,.
Deliver even better products in the space of Natural Language…",EmployerActive 2 days ago,"Up to ₹14,27,000 a year",2023-08-30,https://in.indeed.com/company/Serendipity-Corporate-Services/jobs/Data-Scientist-a4432851cef885de?fccid=33b7955d113d73b9&vjs=3
16,Data Scientist,Data Scientist,RamSoft,"Remote in Bengaluru, Karnataka","Experience creating efficient data pipeline.
Experience performing complex data transformations.
Experience with data quality monitoring and anomaly detection.",PostedPosted 13 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=c5c67d51e663dd14&fccid=23d8a7bce610c3ae&vjs=3
17,Artificial Intelligence and Machine Learning Trainee,Data Scientist,Midas Fintech Solutions Private Limited,"Mumbai, Maharashtra","Perform exploratory data analysis to gain insights into data patterns and quality.
Knowledge of data preprocessing, exploratory data analysis, and feature…",EmployerActive 2 days ago,"₹30,000 - ₹50,000 a month",2023-08-30,https://in.indeed.com/company/Midas-Fintech-Solutions-Private-Limited/jobs/Machine-Learning-Engineer-64aefdd3ff560aef?fccid=2de224ff6c4cdfb7&vjs=3
18,Data Scientist,Data Scientist,8848 Digital LLP,Remote in Remote,"Job Types: Full-time, Contractual / Temporary.
Data Scientist: 3 years (Required).
Probabilistic models, Anomalies: 3 years (Required).",PostedPosted 30+ days ago,"₹10,00,000 - ₹12,00,000 a year",2023-08-30,https://in.indeed.com/company/Nexcen-Global/jobs/Data-Scientist-3c317c9098c965c9?fccid=8998e89e6dd8d44a&vjs=3
19,Machine Learning Engineer,Data Scientist,Influetize,"Remote in Delhi, Delhi","Machine Learning Integration*: Utilize OpenAI's GPT-3 or GPT-4 models to fine-tune and embed user data to meet specific use-case objectives, such as lead…",EmployerActive 13 days ago,"₹40,000 - ₹1,00,000 a month",2023-08-30,https://in.indeed.com/company/Influetize/jobs/Machine-Learning-Engineer-2582d6d940b3401b?fccid=3fca696ca08eeb13&vjs=3
20,Data Scientist,Data Scientist,SS Supply Chain Solutions,"Bengaluru, Karnataka","Able to understand various data structures and common methods in data transformation.
Presenting information using data visualization techniques.",PostedPosted 30+ days ago,"₹10,00,000 - ₹35,00,000 a year",2023-08-30,https://in.indeed.com/rc/clk?jk=e8f01ca4cf3e3e4f&fccid=badaebc4bd06db71&vjs=3
21,Data Science - 51878295,Data Scientist,Sage IT India,India,"They design tailor-made solutions from this data, aiding organizations in achieving their unique objectives and goals.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=cbe2878c961b9407&fccid=159914c2b3cfd876&vjs=3
