,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
0,AI/ML Engineer,Machine Learning Engineer,KREEDA LABS,Remote in Remote,"Visual AI and Motion Detection, Computer Vision, Tensor flow, Keras and other skills sets of an AI/ML Engineer.
AI/ML: 1 year (Preferred).",EmployerActive 2 days ago,"From ₹1,00,000 a month",2023-08-30,https://in.indeed.com/company/GARUDAIRE-PRIVATE-LIMITED/jobs/Engineer-ad9e236ae6fb7df2?fccid=a1f9c2a9f955373d&vjs=3
1,"Specialist, Analytics & Data Science",Machine Learning Engineer,Athena,Remote in Remote,"We are in need of an Analytics & Data Science Specialist who will be responsible for providing business-critical insights and data, performing data analysis…",EmployerActive 2 days ago,?,2023-08-30,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ci2m3NHTCLPLjCafZ29-GlYSVkV9guijR6sPMMcpnip1x9gIab11viNxWecQBuR5jbsuV7LDNnvaP7qmvfmwUPyQmbj9K72SbVRjDT8rbUfiV1kOuPOk97TFcPD_0lKJzY-JDJ3SlLxlf3k52nK-ndRR1KtFnXFWmQaHEZOcV8caCViL1kWCr_Zv067nIsxzH12v3XD_ACo6YL7sL3WLCe7m4w-mKPOcdw-aWiR2bbrkQ7AbfUQLUOu9sMGnJfhk6T_aa0APW8fSPgF1NpdQsMW9x46291CGgAZSnmwVgrgyoibCvOkhAzkEi0m_9ePGYi0b9FVrbFWcIUn_y2CBPjQNT41JHRxBl_0HCyNCjmFZfbwAbQyz4nXqHdu58yReVocF2RILY6ylm2PiB7NAW1Boitnjgbz9W-N1_SdEmjtya8Z9HkneAe4MLiP6K5n9smKxrDDOstrf1HyrV8PHuDLSVGhxNQUSo4H2w5HemykMDNeqWUtLg6UlXDgTyj0geQz0lF9UmUgkPwqu4LRJ0J3FSr_ZYGumgO_6N-chgSxljugSaw2S2eIUVlPWrYz5DTTPF2GNsfb6DbxfT84YhriDdBHECQec-dSO5SR2h8mdzshntm8JDbfxHH08kHb0E-gDkyd0BKgNn9xroi7zrqV1Us2L5LF0ZSot5Bd5yst0MLrniM3zzgrKpCWbZGjjqQJLWL73zoj372sP7iIZq_07rzoIMovhmr63f1CmZ3Xthu_UEG0D2P&xkcb=SoAm-_M3Lj9PPxAGE70JbzkdCdPP&p=2&fvj=1&vjs=3
2,Machine Learning Engineer,Machine Learning Engineer,8848 Digital LLP,Remote in Remote,"Understanding of key machine learning concepts and metrics, such as F-measure.
Demonstrated experience in building, training, and optimizing deep learning…",PostedPosted 30+ days ago,"Up to ₹12,00,000 a year",2023-08-30,https://in.indeed.com/company/Nexcen-Global/jobs/Machine-Learning-Engineer-c405ee2e8db9c036?fccid=8998e89e6dd8d44a&vjs=3
3,Machine Learning Intern,Machine Learning Engineer,Infrrd,India,Designs and develops scalable solutions that leverage machine learning and deep learning models to meet enterprise requirements.,PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=c8abd9c659e9c852&fccid=9eb89d5852677fc4&vjs=3
4,"Machine Learning Research Engineer, Core ML",Machine Learning Engineer,Skit.ai,"Bengaluru, Karnataka","It involves extensive research and product development work in Spoken Language Understanding, Speech Recognition, Paralinguistics, Response Production as well…",EmployerActive 9 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=e4524939f679869a&fccid=0e74d497c7379555&vjs=3
5,"Machine learning Engineer,",Machine Learning Engineer,Predictive Research,"Bengaluru, Karnataka","Our main focus is on Machine Learning, Artificial Intelligence, Neural Network,Big Data, Data Science and financial.
Total work: 1 year (Preferred).",EmployerActive 3 days ago,"₹2,40,000 - ₹3,20,000 a year",2023-08-30,https://in.indeed.com/company/Predictive-Research/jobs/Machine-Learning-Engineer-1f9113ee003e89da?fccid=5f47f858cf568909&vjs=3
6,Machine Learning Engineer (Remote),Machine Learning Engineer,A5 Labs,Remote,"The hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=e1bfa5d34c2f8e0a&fccid=9dda6030fc8fb226&vjs=3
7,Machine Learning Engineer - India,Machine Learning Engineer,Branch International,Remote,"We make extensive use of machine learning in our credit product, where it is used (among other things) for underwriting and loan servicing decisions.",PostedPosted 23 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=f637d823923c75d1&fccid=693e4534a328a646&vjs=3
8,Machine Learning Engineer,Machine Learning Engineer,Aidaptive,Remote in India,"Experience with deep learning frameworks including TensorFlow and other machine learning libraries.
Experience in building, deploying, and improving machine…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=237e8a4133b9b650&fccid=42e2758c0d96e77b&vjs=3
9,Artificial Intelligence and Machine Learning Trainee,Machine Learning Engineer,Midas Fintech Solutions Private Limited,"Mumbai, Maharashtra","Basic understanding of machine learning concepts, algorithms, and techniques.
Algorithm Development: Collaborate with senior team members to design, implement…",EmployerActive 2 days ago,"₹30,000 - ₹50,000 a month",2023-08-30,https://in.indeed.com/company/Midas-Fintech-Solutions-Private-Limited/jobs/Machine-Learning-Engineer-64aefdd3ff560aef?fccid=2de224ff6c4cdfb7&vjs=3
